#cliente,Gama_Productos,rango_precio,Facturacion,Margen_Bruto,Facturacion_s_#Producto,Margen_s_Facturacion
C_1093,22,2,34180,8212,1554,24
C_1094,10,1,9242,4492,924,49
C_1095,13,4,52179,9117,4014,17
C_1096,4,2,8450,2906,2113,34
C_1097,6,1,5125,502,854,10
C_1098,25,3,23461,4499,938,19
C_1099,10,3,29954,9425,2995,31
C_11,9,1,4657,356,517,8
C_110,34,3,63449,11543,1866,18
C_1100,18,4,17611,3574,978,20
C_1101,6,2,2071,654,345,32
C_1102,27,1,14441,3253,535,23
C_1103,33,2,179267,132643,5432,74
C_1104,1,2,700,421,700,60
C_1105,4,1,3567,170,892,5
C_1106,22,1,20755,1878,943,9
C_1107,7,1,5965,2809,852,47
C_1108,22,1,23555,3682,1071,16
C_1109,9,5,2101,443,233,21
C_111,5,1,11185,2507,2237,22
C_1110,9,1,9184,1614,1020,18
C_1111,26,2,42410,8871,1631,21
C_1112,2,5,2270,658,1135,29
C_1113,2,5,2270,658,1135,29
C_1114,1,4,392,71,392,18
C_1115,5,1,3209,550,642,17
C_1116,3,1,4041,210,1347,5
C_1117,1,1,2835,963,2835,34
C_1118,7,1,8970,1052,1281,12
C_1119,5,4,1389,224,278,16
C_112,20,1,43359,7246,2168,17
C_1120,1,1,1530,490,1530,32
C_1121,9,5,10166,1509,1130,15
C_1122,20,3,7765,1023,388,13
C_1123,27,5,10429,1385,386,13
C_1124,18,3,6229,874,346,14
C_1125,1,2,63,1,63,1
C_1126,41,1,87165,19953,2126,23
C_1127,24,1,8172,1432,341,18
C_1128,18,4,17750,2646,986,15
C_1129,7,3,7816,207,1117,3
C_113,11,3,5658,1868,514,33
C_1130,9,1,13550,2135,1506,16
C_1131,5,3,3951,1376,790,35
C_1132,4,1,2297,355,574,15
C_1133,5,2,1930,285,386,15
C_1134,22,1,16313,1473,742,9
C_1135,22,1,8355,1384,380,17
C_1136,4,5,4588,454,1147,10
C_1137,8,1,3889,1011,486,26
C_1138,3,5,5604,1109,1868,20
C_1139,10,1,35822,2435,3582,7
C_114,6,4,3749,719,625,19
C_1140,18,5,28432,5659,1580,20
C_1141,15,1,32322,4734,2155,15
C_1142,9,1,6128,1067,681,17
C_1143,23,3,56062,8252,2437,15
C_1144,1,3,16308,1778,16308,11
C_1145,11,1,15727,2168,1430,14
C_1146,1,4,6127,1820,6127,30
C_1147,14,1,41227,6039,2945,15
C_1148,14,1,5742,911,410,16
C_1149,19,3,23570,6044,1241,26
C_115,13,4,3593,996,276,28
C_1150,6,4,3421,294,570,9
C_1151,16,1,15004,2752,938,18
C_1152,2,5,1421,276,711,19
C_1153,1,1,4789,779,4789,16
C_1154,6,1,14278,1097,2380,8
C_1155,11,1,15445,1480,1404,10
C_1156,2,3,8190,4642,4095,57
C_1157,33,4,141023,22982,4273,16
C_1158,3,2,1710,157,570,9
C_1159,21,4,75463,12388,3593,16
C_116,33,1,58236,9462,1765,16
C_1160,2,5,31360,4645,15680,15
C_1161,9,1,6204,936,689,15
C_1162,19,1,25289,4673,1331,18
C_1163,2,5,859,81,430,9
C_1164,22,1,29696,5030,1350,17
C_1165,1,4,5418,4182,5418,77
C_1166,16,1,15956,2769,997,17
C_1167,12,1,14484,1380,1207,10
C_1168,2,5,550,171,275,31
C_1169,3,4,5663,800,1888,14
C_117,4,3,2464,752,616,31
C_1170,33,5,100877,10894,3057,11
C_1171,22,4,18283,4403,831,24
C_1172,20,4,28338,4974,1417,18
C_1173,8,5,2548,622,319,24
C_1174,1,2,393,124,393,32
C_1175,25,4,43365,8447,1735,19
C_1176,20,4,28598,5078,1430,18
C_1177,1,4,3314,1081,3314,33
C_1178,11,3,2744,401,249,15
C_1179,4,4,8921,2079,2230,23
C_118,16,4,97278,24449,6080,25
C_1180,4,2,14339,3012,3585,21
C_1181,27,3,129689,33119,4803,26
C_1182,7,1,17751,6475,2536,36
C_1183,1,2,813,188,813,23
C_1184,17,4,26195,5435,1541,21
C_1185,10,4,14482,9910,1448,68
C_1186,5,4,898,88,180,10
C_1187,26,3,23670,3740,910,16
C_1188,4,1,977,123,244,13
C_1189,33,4,27331,6835,828,25
C_119,25,3,65631,11843,2625,18
C_1190,3,5,5145,1200,1715,23
C_1191,3,5,461,101,154,22
C_1192,1,2,4036,1057,4036,26
C_1193,23,1,9488,1613,413,17
C_1194,17,1,5116,806,301,16
C_1195,24,1,10211,1502,425,15
C_1196,14,1,6030,933,431,15
C_1197,15,5,16754,1849,1117,11
C_1198,29,4,26232,5959,905,23
C_1199,2,2,1469,110,735,7
C_12,17,1,112905,8471,6641,8
C_120,13,1,19119,2246,1471,12
C_1200,15,1,16495,5457,1100,33
C_1201,25,4,52468,12752,2099,24
C_1202,21,3,7412,2213,353,30
C_1203,5,4,3949,633,790,16
C_1204,8,5,13328,1309,1666,10
C_1205,7,1,5331,558,762,10
C_1206,1,2,1740,376,1740,22
C_1207,9,4,5663,862,629,15
C_1208,11,3,19293,4251,1754,22
C_1209,23,5,67821,14907,2949,22
C_121,11,1,11226,1837,1021,16
C_1210,1,2,5943,1917,5943,32
C_1211,14,4,8730,718,624,8
C_1212,1,2,266,62,266,23
C_1213,10,5,46012,1660,4601,4
C_1214,9,4,7867,1366,874,17
C_1215,6,1,5296,459,883,9
C_1216,1,4,2752,231,2752,8
C_1218,19,1,24202,5263,1274,22
C_1219,9,1,19238,4794,2138,25
C_122,25,1,25554,5140,1022,20
C_1220,26,1,107296,17016,4127,16
C_1221,3,1,3124,375,1041,12
C_1222,13,4,3236,1008,249,31
C_1223,6,1,1597,139,266,9
C_1224,16,1,23733,6434,1483,27
C_1225,3,1,4869,142,1623,3
C_1226,14,3,15942,2197,1139,14
C_1227,29,5,16961,4114,585,24
C_1228,3,5,7662,2320,2554,30
C_1229,10,1,24210,4180,2421,17
C_123,7,1,33047,10149,4721,31
C_1230,19,5,26687,3235,1405,12
C_1231,10,1,7384,771,738,10
C_1232,23,4,29745,7907,1293,27
C_1233,11,1,6778,1743,616,26
C_1234,19,4,21461,8420,1130,39
C_1235,19,1,156275,18899,8225,12
C_1236,8,1,5411,1389,676,26
C_1237,18,2,47555,4588,2642,10
C_1238,21,4,24709,7413,1177,30
C_1239,32,4,40956,11634,1280,28
C_124,7,4,6984,1649,998,24
C_1240,32,4,40956,11543,1280,28
C_1241,3,5,9198,1306,3066,14
C_1242,38,3,17743,4886,467,28
C_1243,1,1,394,63,394,16
C_1244,19,1,41789,4232,2199,10
C_1245,3,5,4215,265,1405,6
C_1246,25,3,26506,5976,1060,23
C_1247,8,3,2392,487,299,20
C_1248,14,3,6492,1304,464,20
C_1249,1,1,108,1,108,1
C_125,19,4,19166,5878,1009,31
C_1250,17,3,15750,2045,926,13
C_1251,2,1,4380,191,2190,4
C_1252,5,3,5116,1332,1023,26
C_1253,1,2,1896,24,1896,1
C_1254,12,1,29658,5454,2472,18
C_1255,17,5,22584,2758,1328,12
C_1256,24,3,37852,8229,1577,22
C_1257,43,3,69529,14517,1617,21
C_1258,6,5,6096,1499,1016,25
C_1259,32,5,53498,11605,1672,22
C_126,15,4,18788,4661,1253,25
C_1260,2,5,3156,1248,1578,40
C_1261,9,5,53219,11140,5913,21
C_1262,3,5,3865,1202,1288,31
C_1263,4,2,6297,550,1574,9
C_1264,4,2,6297,550,1574,9
C_1265,26,3,11352,1694,437,15
C_1266,32,2,46683,9625,1459,21
C_1267,10,4,4676,1270,468,27
C_1268,4,5,5401,983,1350,18
C_1269,23,5,75345,12995,3276,17
C_127,11,1,6622,738,602,11
C_1270,1,2,775,178,775,23
C_1271,1,2,775,178,775,23
C_1272,8,1,48331,11200,6041,23
C_1273,8,2,3915,361,489,9
C_1274,6,3,5279,841,880,16
C_1275,2,5,966,132,483,14
C_1276,4,5,6240,1070,1560,17
C_1277,2,1,2075,869,1038,42
C_1278,13,1,7148,1957,550,27
C_1279,8,1,5751,460,719,8
C_128,1,4,560,332,560,59
C_1280,15,5,4542,586,303,13
C_1281,18,3,11452,1553,636,14
C_1282,9,1,9658,1084,1073,11
C_1283,5,1,10592,3920,2118,37
C_1284,29,5,31350,6504,1081,21
C_1285,19,1,9087,1646,478,18
C_1286,8,1,24874,3305,3109,13
C_1287,4,1,6778,954,1695,14
C_1288,8,4,8721,1875,1090,21
C_1289,16,4,46276,16965,2892,37
C_129,27,1,58846,10291,2179,17
C_1290,4,1,4198,604,1050,14
C_1291,11,1,11355,1000,1032,9
C_1292,4,5,30270,5510,7568,18
C_1293,1,4,234,57,234,24
C_1294,8,4,8248,1351,1031,16
C_1295,7,1,3317,507,474,15
C_1296,23,1,62182,6762,2704,11
C_1297,2,5,1303,220,652,17
C_1298,26,3,15889,2353,611,15
C_1299,19,3,35836,5037,1886,14
C_13,6,1,4418,463,736,10
C_130,30,1,134732,18263,4491,14
C_1300,6,5,13950,831,2325,6
C_1301,17,2,31219,5355,1836,17
C_1302,9,5,7300,2597,811,36
C_1303,45,1,127182,27674,2826,22
C_1304,14,2,51499,8607,3679,17
C_1305,3,1,6010,1053,2003,18
C_1306,19,1,82810,13371,4358,16
C_1307,24,3,24592,3534,1025,14
C_1308,1,3,76,6,76,8
C_1309,1,2,336,72,336,21
C_131,3,1,102393,8098,34131,8
C_1310,16,4,6955,2124,435,31
C_1311,5,1,5700,120,1140,2
C_1312,22,1,20849,4874,948,23
C_1313,1,2,55,17,55,31
C_1314,4,4,3160,369,790,12
C_1315,2,5,2480,143,1240,6
C_1316,20,5,27676,8904,1384,32
C_1317,2,5,600,94,300,16
C_1318,17,3,23973,2669,1410,11
C_1319,11,3,6964,1263,633,18
C_132,26,5,39197,9879,1508,25
C_1320,1,2,198,38,198,19
C_1321,5,4,5606,539,1121,10
C_1322,22,1,186547,18844,8479,10
C_1323,5,4,12400,4373,2480,35
C_1324,5,1,3274,394,655,12
C_1325,15,3,17768,5588,1185,31
C_1326,15,3,13606,2808,907,21
C_1327,1,3,3240,457,3240,14
C_1328,1,4,89,24,89,27
C_1329,2,4,2816,437,1408,16
C_133,1,4,216,71,216,33
C_1330,13,4,26666,6365,2051,24
C_1331,11,3,13303,1420,1209,11
C_1332,15,1,22225,2838,1482,13
C_1333,14,2,29047,7027,2075,24
C_1334,1,1,9493,303,9493,3
C_1335,13,2,8365,1008,643,12
C_1336,19,4,22896,10186,1205,44
C_1337,2,5,6210,1771,3105,29
C_1338,19,1,5786,1295,305,22
C_1339,19,1,4426,1062,233,24
C_134,7,4,5487,1621,784,30
C_1340,6,4,7745,1029,1291,13
C_1341,32,4,47323,13162,1479,28
C_1342,14,3,9521,1612,680,17
C_1343,25,1,98178,21968,3927,22
C_1344,32,3,88286,24706,2759,28
C_1345,22,1,114537,29788,5206,26
C_1346,2,1,3210,796,1605,25
C_1347,20,1,9451,999,473,11
C_1348,9,3,24581,3729,2731,15
C_1349,16,4,42183,10539,2636,25
C_135,11,1,72892,18641,6627,26
C_1350,5,5,1186,187,237,16
C_1351,8,1,1855,283,232,15
C_1352,5,5,1248,192,250,15
C_1353,2,4,395,117,198,30
C_1354,2,5,22314,3371,11157,15
C_1355,1,4,550,67,550,12
C_1356,1,4,736,91,736,12
C_1357,21,1,24778,10524,1180,42
C_1358,2,1,27195,3160,13598,12
C_1359,3,1,11341,2933,3780,26
C_136,1,3,13770,661,13770,5
C_1360,7,4,5640,1180,806,21
C_1361,19,4,7204,1542,379,21
C_1362,3,1,1350,235,450,17
C_1363,24,5,17737,2009,739,11
C_1364,6,5,2190,262,365,12
C_1365,2,5,1980,978,990,49
C_1366,10,1,3225,396,323,12
C_1367,16,1,5064,1195,317,24
C_1368,4,1,2191,1136,548,52
C_1369,11,5,19521,2381,1775,12
C_137,29,5,34978,8679,1206,25
C_1370,5,5,14345,2895,2869,20
C_1371,12,3,5290,605,441,11
C_1372,15,5,7080,885,472,12
C_1373,19,4,32264,4417,1698,14
C_1374,3,5,3483,366,1161,11
C_1375,14,4,10495,2465,750,23
C_1376,7,1,4640,958,663,21
C_1377,17,4,39044,13258,2297,34
C_1378,1,1,300,34,300,11
C_1379,18,3,7265,1510,404,21
C_138,11,4,11838,925,1076,8
C_1380,18,3,8956,2310,498,26
C_1381,2,2,158,48,79,31
C_1382,7,3,44944,6814,6421,15
C_1383,6,5,2657,807,443,30
C_1384,19,1,14757,1976,777,13
C_1385,8,1,8586,2743,1073,32
C_1386,21,3,24864,3669,1184,15
C_1387,18,5,13484,1878,749,14
C_1388,15,4,11679,1971,779,17
C_1389,25,3,42823,8122,1713,19
C_139,2,4,364,207,182,57
C_1390,25,3,58985,10502,2359,18
C_1391,19,4,11649,2389,613,21
C_1392,13,1,15373,2748,1183,18
C_1393,1,4,1410,458,1410,32
C_1394,16,3,40158,6073,2510,15
C_1395,39,1,130619,29429,3349,23
C_1396,33,5,60571,17843,1835,29
C_1397,1,1,1680,278,1680,17
C_1398,26,3,7737,1382,298,18
C_1399,26,3,7737,1382,298,18
C_14,5,1,4318,1529,864,35
C_140,12,1,31527,3280,2627,10
C_1400,1,1,434,86,434,20
C_1401,14,5,17171,2643,1227,15
C_1402,2,5,1023,220,512,22
C_1403,6,5,8121,821,1354,10
C_1404,27,1,122083,21773,4522,18
C_1405,16,3,8370,1926,523,23
C_1406,2,5,3476,37,1738,1
C_1407,18,3,38327,7255,2129,19
C_1408,8,1,16336,1208,2042,7
C_1409,1,2,70,44,70,63
C_141,3,1,1750,864,583,49
C_1410,3,5,1388,561,463,40
C_1411,20,1,11140,2047,557,18
C_1412,1,1,2600,1159,2600,45
C_1413,2,4,955,53,478,6
C_1414,4,4,807,237,202,29
C_1415,21,5,53779,11498,2561,21
C_1416,2,5,546,164,273,30
C_1417,14,1,133121,11160,9509,8
C_1418,24,1,34663,8542,1444,25
C_1419,28,3,160758,29417,5741,18
C_142,16,4,21334,4278,1333,20
C_1420,26,1,203409,45950,7823,23
C_1421,25,1,65608,15028,2624,23
C_1422,3,5,3215,487,1072,15
C_1423,7,1,16219,1848,2317,11
C_1424,2,5,3663,1377,1832,38
C_1425,1,1,1400,376,1400,27
C_1426,5,4,6019,788,1204,13
C_1427,1,1,230,9,230,4
C_1428,27,1,44731,6580,1657,15
C_1429,20,4,17653,4049,883,23
C_143,26,3,18559,4157,714,22
C_1430,18,1,16982,3521,943,21
C_1431,5,2,69375,33976,13875,49
C_1432,24,3,47966,10748,1999,22
C_1433,19,3,9384,1362,494,15
C_1434,20,1,14881,2477,744,17
C_1435,1,3,5980,3291,5980,55
C_1436,9,2,9548,4812,1061,50
C_1437,15,5,64298,19076,4287,30
C_1438,11,4,5632,718,512,13
C_1439,20,1,50352,9902,2518,20
C_144,15,5,5369,611,358,11
C_1440,7,2,4319,622,617,14
C_1441,12,3,9739,1123,812,12
C_1442,34,4,117740,91985,3463,78
C_1443,5,1,4796,2612,959,54
C_1444,21,2,28118,3282,1339,12
C_1445,5,1,7603,1258,1521,17
C_1446,3,1,2583,343,861,13
C_1447,39,1,40234,8327,1032,21
C_1448,11,1,7183,1093,653,15
C_1449,1,2,2916,1138,2916,39
C_145,14,3,16505,5235,1179,32
C_1450,4,5,5907,1892,1477,32
C_1451,16,2,13080,2662,818,20
C_1452,1,1,800,24,800,3
C_1453,6,1,4826,2734,804,57
C_1454,5,1,1907,426,381,22
C_1455,4,3,2018,421,505,21
C_1456,15,3,5931,1715,395,29
C_1457,30,3,32072,7481,1069,23
C_1458,28,3,51269,9264,1831,18
C_1459,41,4,55454,16217,1353,29
C_146,4,1,4750,2220,1188,47
C_1460,31,4,14122,3826,456,27
C_1461,6,5,5321,1245,887,23
C_1462,22,3,9460,2368,430,25
C_1463,4,4,2048,378,512,18
C_1464,5,4,2140,312,428,15
C_1465,2,5,4790,422,2395,9
C_1466,2,5,307,105,154,34
C_1467,12,1,14526,2882,1211,20
C_1468,4,4,2122,331,531,16
C_147,12,4,9256,2718,771,29
C_1470,5,2,1547,275,309,18
C_1471,19,3,33511,9225,1764,28
C_1472,13,3,5031,791,387,16
C_1473,31,3,180213,32627,5813,18
C_1474,22,1,27888,3302,1268,12
C_1475,3,4,2182,932,727,43
C_1476,15,2,9350,1934,623,21
C_1477,5,3,4840,410,968,8
C_1478,2,1,16369,1635,8185,10
C_1479,3,1,7534,1339,2511,18
C_148,38,1,220205,151862,5795,69
C_1480,10,3,3304,766,330,23
C_1481,29,3,41077,8029,1416,20
C_1482,33,3,28514,7156,864,25
C_1483,9,5,3616,866,402,24
C_1484,26,5,29730,4164,1143,14
C_1485,44,4,48018,15346,1091,32
C_1486,18,4,28554,7217,1586,25
C_1487,16,1,10268,1407,642,14
C_1488,9,1,6497,1264,722,19
C_1489,4,1,2795,147,699,5
C_149,14,5,48556,5092,3468,10
C_1490,39,3,35243,8074,904,23
C_1491,23,5,12854,2715,559,21
C_1492,10,4,46310,12511,4631,27
C_1493,23,4,124983,16341,5434,13
C_1494,4,3,1925,805,481,42
C_1495,6,2,2708,117,451,4
C_1496,13,1,5600,996,431,18
C_1497,28,5,66241,9603,2366,14
C_1498,12,1,7868,2686,656,34
C_1499,8,1,14444,3997,1806,28
C_15,1,2,8226,2694,8226,33
C_150,7,1,1136,86,162,8
C_1500,18,1,20496,4869,1139,24
C_1501,1,1,288,164,288,57
C_1502,8,1,22786,2069,2848,9
C_1503,8,1,17151,2938,2144,17
C_1504,15,1,8457,1851,564,22
C_1505,14,2,7913,1319,565,17
C_1506,6,1,6878,1068,1146,16
C_1507,28,3,65837,27563,2351,42
C_1508,28,3,44934,8702,1605,19
C_1509,6,5,1529,225,255,15
C_151,16,3,20086,3949,1255,20
C_1510,26,1,21660,5870,833,27
C_1511,10,4,6781,1571,678,23
C_1512,14,2,11960,1548,854,13
C_1513,22,3,46180,13133,2099,28
C_1514,10,3,9432,809,943,9
C_1515,2,1,4237,207,2119,5
C_1516,29,1,26732,6144,922,23
C_1517,6,4,690,84,115,12
C_1518,6,1,15177,3814,2530,25
C_1519,4,5,1593,121,398,8
C_152,41,4,24105,5916,588,25
C_1520,13,1,9853,1557,758,16
C_1521,6,3,4356,705,726,16
C_1522,35,4,30961,7776,885,25
C_1523,13,5,11031,2459,849,22
C_1524,10,1,19983,1763,1998,9
C_1525,2,1,1496,189,748,13
C_1526,2,1,14512,5350,7256,37
C_1527,6,5,5700,901,950,16
C_1528,3,2,905,86,302,10
C_1529,6,1,3248,814,541,25
C_153,40,4,23800,5841,595,25
C_1530,12,5,17150,4849,1429,28
C_1531,1,1,765,130,765,17
C_1532,10,1,6716,1239,672,18
C_1533,5,5,4664,1335,933,29
C_1534,5,1,28466,5772,5693,20
C_1535,1,1,336,191,336,57
C_1536,2,1,10810,2266,5405,21
C_1537,12,2,8390,1479,699,18
C_1538,9,5,5819,1259,647,22
C_1539,4,5,2300,176,575,8
C_154,43,4,127967,29649,2976,23
C_1540,7,1,11260,3104,1609,28
C_1541,22,1,20491,3706,931,18
C_1542,2,1,2120,258,1060,12
C_1543,18,3,20683,3397,1149,16
C_1544,32,4,12235,4244,382,35
C_1545,34,4,42536,10034,1251,24
C_1546,4,2,3150,165,788,5
C_1547,39,2,77108,14384,1977,19
C_1548,26,5,10010,3039,385,30
C_1549,14,4,11633,2615,831,22
C_155,27,3,56470,11937,2091,21
C_1550,6,2,4541,1027,757,23
C_1551,21,1,10014,2473,477,25
C_1552,5,5,14440,1149,2888,8
C_1553,29,3,15963,2332,550,15
C_1554,12,1,7892,1311,658,17
C_1555,15,3,11723,2486,782,21
C_1556,4,3,1347,151,337,11
C_1557,23,1,22729,3910,988,17
C_1558,20,2,20785,3529,1039,17
C_1559,20,3,11420,2118,571,19
C_156,32,1,246087,23672,7690,10
C_1560,29,5,63420,9724,2187,15
C_1561,9,5,6484,1267,720,20
C_1562,3,1,8321,3072,2774,37
C_1563,7,1,2732,807,390,30
C_1564,12,4,3679,609,307,17
C_1565,5,5,3945,274,789,7
C_1566,28,1,21666,4846,774,22
C_1567,1,3,73,10,73,14
C_1568,18,3,22238,2836,1235,13
C_1569,1,1,650,69,650,11
C_157,30,1,41901,6983,1397,17
C_1570,27,3,15297,3201,567,21
C_1571,1,1,105,2,105,2
C_1572,8,1,12594,3233,1574,26
C_1573,11,2,16995,2895,1545,17
C_1574,9,4,12228,4613,1359,38
C_1575,27,1,30132,4286,1116,14
C_1576,19,1,9646,1626,508,17
C_1577,6,5,1441,196,240,14
C_1578,4,3,3350,468,838,14
C_1579,3,3,2270,205,757,9
C_158,2,2,7677,2017,3839,26
C_1580,4,5,1403,159,351,11
C_1581,11,1,5607,1568,510,28
C_1582,24,3,26343,5543,1098,21
C_1583,2,5,400,14,200,4
C_1584,33,1,37077,6239,1124,17
C_1585,1,3,73,10,73,14
C_1586,1,1,540,9,540,2
C_1587,21,4,15554,4668,741,30
C_1588,12,5,7352,684,613,9
C_1589,8,1,2089,329,261,16
C_159,32,1,112578,20722,3518,18
C_1590,1,2,660,126,660,19
C_1591,2,5,5535,578,2768,10
C_1592,12,3,11914,1811,993,15
C_1593,1,1,330,48,330,15
C_1594,7,1,1917,128,274,7
C_1595,20,5,12504,2381,625,19
C_1596,5,1,3962,304,792,8
C_1597,20,1,197290,43131,9865,22
C_1598,9,3,10473,2186,1164,21
C_1599,32,3,30463,7281,952,24
C_16,42,1,113342,23145,2699,20
C_160,1,2,75,41,75,54
C_1600,3,3,666,84,222,13
C_1601,7,1,9689,1427,1384,15
C_1602,7,4,1676,400,239,24
C_1603,19,1,36567,7674,1925,21
C_1604,1,2,756,180,756,24
C_1605,11,5,3240,741,295,23
C_1606,27,1,23365,4352,865,19
C_1607,27,1,20954,4043,776,19
C_1608,26,4,9629,2325,370,24
C_1609,17,4,9628,2585,566,27
C_161,29,1,47694,7112,1645,15
C_1610,19,4,10574,2861,557,27
C_1611,4,5,1980,171,495,9
C_1612,34,1,60160,19563,1769,33
C_1613,2,5,6900,757,3450,11
C_1614,1,2,1188,281,1188,24
C_1615,10,4,70425,48574,7043,69
C_1616,12,4,6912,1635,576,24
C_1617,25,5,28603,6804,1144,24
C_1618,25,1,4344,1133,174,26
C_1619,12,3,5153,1128,429,22
C_162,25,2,41257,6214,1650,15
C_1620,15,5,14820,2373,988,16
C_1621,15,4,36796,7058,2453,19
C_1622,2,5,1672,180,836,11
C_1623,32,4,67043,12419,2095,19
C_1624,5,3,15341,2030,3068,13
C_1625,16,1,28236,7151,1765,25
C_1626,11,1,5820,1017,529,17
C_1627,6,5,7108,1233,1185,17
C_1628,1,1,540,9,540,2
C_1629,15,4,9911,1749,661,18
C_163,28,1,64314,12999,2297,20
C_1630,17,4,2711,765,159,28
C_1631,33,2,139430,23521,4225,17
C_1632,27,4,12152,2864,450,24
C_1633,27,2,57234,7284,2120,13
C_1634,18,1,15933,2768,885,17
C_1635,6,1,7460,874,1243,12
C_1636,3,1,4676,1569,1559,34
C_1637,10,3,3999,780,400,20
C_1638,3,1,2715,206,905,8
C_1639,4,1,14386,2544,3597,18
C_164,18,1,7863,1096,437,14
C_1640,13,1,110791,8795,8522,8
C_1641,15,1,99496,15805,6633,16
C_1642,10,5,30313,4001,3031,13
C_1643,3,5,1350,519,450,38
C_1644,8,1,11700,2061,1463,18
C_1645,3,5,2958,910,986,31
C_1646,4,4,3832,585,958,15
C_1647,7,4,12914,3297,1845,26
C_1648,8,4,16002,10792,2000,67
C_1649,6,3,2785,629,464,23
C_165,11,1,8871,2392,806,27
C_1650,2,5,516,173,258,34
C_1651,9,4,972,199,108,21
C_1652,8,2,1163,232,145,20
C_1653,21,2,23230,3099,1106,13
C_1654,26,3,87025,13457,3347,15
C_1655,1,2,346,109,346,32
C_1656,7,4,1020,119,146,12
C_1657,14,4,27545,4258,1968,15
C_1658,4,4,22775,3087,5694,14
C_1659,16,1,18536,4856,1159,26
