#cliente,Gama_Productos,rango_precio,Facturacion,Margen_Bruto,Facturacion_s_#Producto,Margen_s_#Producto,Margen_s_Facturacion
C_1092,10,2,19002,3715,1900,372,20
C_1093,22,2,34180,8212,1554,373,24
C_1094,10,2,9242,4492,924,449,49
C_1095,13,2,52179,9117,4014,701,17
C_1096,4,2,8450,2906,2113,727,34
C_1097,6,2,5125,502,854,84,10
C_1098,25,3,23461,4499,938,180,19
C_1099,10,3,29954,9425,2995,943,31
C_11,9,2,4657,356,517,40,8
C_110,34,2,63449,11543,1866,340,18
C_1100,18,5,17611,3574,978,199,20
C_1101,6,2,2071,654,345,109,32
C_1102,27,2,14441,3253,535,120,23
C_1103,33,2,179267,132643,5432,4019,74
C_1104,1,2,700,421,700,421,60
C_1105,4,2,3567,170,892,43,5
C_1106,22,2,20755,1878,943,85,9
C_1107,7,2,5965,2809,852,401,47
C_1108,22,2,23555,3682,1071,167,16
C_1109,9,2,2101,443,233,49,21
C_111,5,2,11185,2507,2237,501,22
C_1110,9,2,9184,1614,1020,179,18
C_1111,26,2,42410,8871,1631,341,21
C_1112,2,5,2270,658,1135,329,29
C_1113,2,5,2270,658,1135,329,29
C_1114,1,3,392,71,392,71,18
C_1115,5,2,3209,550,642,110,17
C_1116,3,2,4041,210,1347,70,5
C_1117,1,2,2835,963,2835,963,34
C_1118,7,2,8970,1052,1281,150,12
C_1119,5,5,1389,224,278,45,16
C_112,20,2,43359,7246,2168,362,17
C_1120,1,2,1530,490,1530,490,32
C_1121,9,2,10166,1509,1130,168,15
C_1122,20,3,7765,1023,388,51,13
C_1123,27,2,10429,1385,386,51,13
C_1124,18,2,6229,874,346,49,14
C_1125,1,2,63,0,63,0,1
C_1126,41,2,87165,19953,2126,487,23
C_1127,24,2,8172,1432,341,60,18
C_1128,18,3,17750,2646,986,147,15
C_1129,7,2,7816,207,1117,30,3
C_113,11,3,5658,1868,514,170,33
C_1130,9,2,13550,2135,1506,237,16
C_1131,5,3,3951,1376,790,275,35
C_1132,4,2,2297,355,574,89,15
C_1133,5,5,1930,285,386,57,15
C_1134,22,2,16313,1473,742,67,9
C_1135,22,2,8355,1384,380,63,17
C_1136,4,2,4588,454,1147,114,10
C_1137,8,2,3889,1011,486,126,26
C_1138,3,5,5604,1109,1868,370,20
C_1139,10,2,35822,2435,3582,244,7
C_114,6,3,3749,719,625,120,19
C_1140,18,2,28432,5659,1580,314,20
C_1141,15,2,32322,4734,2155,316,15
C_1142,9,5,6128,1067,681,119,17
C_1143,23,3,56062,8252,2437,359,15
C_1144,1,2,16308,1778,16308,1778,11
C_1145,11,2,15727,2168,1430,197,14
C_1146,1,3,6127,1820,6127,1820,30
C_1147,14,3,41227,6039,2945,431,15
C_1148,14,2,5742,911,410,65,16
C_1149,19,3,23570,6044,1241,318,26
C_115,13,3,3593,996,276,77,28
C_1150,6,3,3421,294,570,49,9
C_1151,16,2,15004,2752,938,172,18
C_1152,2,2,1421,276,711,138,19
C_1153,1,2,4789,779,4789,779,16
C_1154,6,2,14278,1097,2380,183,8
C_1155,11,2,15445,1480,1404,135,10
C_1156,2,3,8190,4642,4095,2321,57
C_1157,33,3,141023,22982,4273,696,16
C_1158,3,5,1710,157,570,52,9
C_1159,21,5,75463,12388,3593,590,16
C_116,33,2,58236,9462,1765,287,16
C_1160,2,5,31360,4645,15680,2323,15
C_1161,9,2,6204,936,689,104,15
C_1162,19,2,25289,4673,1331,246,18
C_1163,2,5,859,81,430,41,9
C_1164,22,2,29696,5030,1350,229,17
C_1165,1,3,5418,4182,5418,4182,77
C_1166,16,2,15956,2769,997,173,17
C_1167,12,2,14484,1380,1207,115,10
C_1168,2,5,550,171,275,86,31
C_1169,3,3,5663,800,1888,267,14
C_117,4,3,2464,752,616,188,31
C_1170,33,2,100877,10894,3057,330,11
C_1171,22,3,18283,4403,831,200,24
C_1172,20,3,28338,4974,1417,249,18
C_1173,8,3,2548,622,319,78,24
C_1174,1,3,393,124,393,124,32
C_1175,25,3,43365,8447,1735,338,19
C_1176,20,3,28598,5078,1430,254,18
C_1177,1,3,3314,1081,3314,1081,33
C_1178,11,2,2744,401,249,36,15
C_1179,4,3,8921,2079,2230,520,23
C_118,16,3,97278,24449,6080,1528,25
C_1180,4,2,14339,3012,3585,753,21
C_1181,27,3,129689,33119,4803,1227,26
C_1182,7,2,17751,6475,2536,925,36
C_1183,1,2,813,188,813,188,23
C_1184,17,3,26195,5435,1541,320,21
C_1185,10,3,14482,9910,1448,991,68
C_1186,5,3,898,88,180,18,10
C_1187,26,3,23670,3740,910,144,16
C_1188,4,2,977,123,244,31,13
C_1189,33,3,27331,6835,828,207,25
C_119,25,2,65631,11843,2625,474,18
C_1190,3,2,5145,1200,1715,400,23
C_1191,3,2,461,101,154,34,22
C_1192,1,2,4036,1057,4036,1057,26
C_1193,23,2,9488,1613,413,70,17
C_1194,17,2,5116,806,301,47,16
C_1195,24,2,10211,1502,425,63,15
C_1196,14,2,6030,933,431,67,15
C_1197,15,2,16754,1849,1117,123,11
C_1198,29,3,26232,5959,905,205,23
C_1199,2,5,1469,110,735,55,7
C_12,17,2,112905,8471,6641,498,8
C_120,13,2,19119,2246,1471,173,12
C_1200,15,2,16495,5457,1100,364,33
C_1201,25,3,52468,12752,2099,510,24
C_1202,21,3,7412,2213,353,105,30
C_1203,5,3,3949,633,790,127,16
C_1204,8,3,13328,1309,1666,164,10
C_1205,7,2,5331,558,762,80,10
C_1206,1,2,1740,376,1740,376,22
C_1207,9,3,5663,862,629,96,15
C_1208,11,2,19293,4251,1754,386,22
C_1209,23,2,67821,14907,2949,648,22
C_121,11,2,11226,1837,1021,167,16
C_1210,1,2,5943,1917,5943,1917,32
C_1211,14,3,8730,718,624,51,8
C_1212,1,2,266,62,266,62,23
C_1213,10,2,46012,1660,4601,166,4
C_1214,9,2,7867,1366,874,152,17
C_1215,6,2,5296,459,883,77,9
C_1216,1,3,2752,231,2752,231,8
C_1218,19,2,24202,5263,1274,277,22
C_1219,9,5,19238,4794,2138,533,25
C_122,25,2,25554,5140,1022,206,20
C_1220,26,2,107296,17016,4127,654,16
C_1221,3,2,3124,375,1041,125,12
C_1222,13,2,3236,1008,249,78,31
C_1223,6,2,1597,139,266,23,9
C_1224,16,2,23733,6434,1483,402,27
C_1225,3,2,4869,142,1623,47,3
C_1226,14,2,15942,2197,1139,157,14
C_1227,29,3,16961,4114,585,142,24
C_1228,3,2,7662,2320,2554,773,30
C_1229,10,3,24210,4180,2421,418,17
C_123,7,2,33047,10149,4721,1450,31
C_1230,19,2,26687,3235,1405,170,12
C_1231,10,2,7384,771,738,77,10
C_1232,23,3,29745,7907,1293,344,27
C_1233,11,2,6778,1743,616,158,26
C_1234,19,3,21461,8420,1130,443,39
C_1235,19,2,156275,18899,8225,995,12
C_1236,8,2,5411,1389,676,174,26
C_1237,18,2,47555,4588,2642,255,10
C_1238,21,3,24709,7413,1177,353,30
C_1239,32,3,40956,11634,1280,364,28
C_124,7,3,6984,1649,998,236,24
C_1240,32,3,40956,11543,1280,361,28
C_1241,3,2,9198,1306,3066,435,14
C_1242,38,3,17743,4886,467,129,28
C_1243,1,2,394,63,394,63,16
C_1244,19,2,41789,4232,2199,223,10
C_1245,3,3,4215,265,1405,88,6
C_1246,25,3,26506,5976,1060,239,23
C_1247,8,2,2392,487,299,61,20
C_1248,14,5,6492,1304,464,93,20
C_1249,1,2,108,0,108,0,0
C_125,19,3,19166,5878,1009,309,31
C_1250,17,5,15750,2045,926,120,13
C_1251,2,5,4380,191,2190,96,4
C_1252,5,3,5116,1332,1023,266,26
C_1253,1,2,1896,24,1896,24,1
C_1254,12,2,29658,5454,2472,455,18
C_1255,17,5,22584,2758,1328,162,12
C_1256,24,3,37852,8229,1577,343,22
C_1257,43,3,69529,14517,1617,338,21
C_1258,6,3,6096,1499,1016,250,25
C_1259,32,2,53498,11605,1672,363,22
C_126,15,5,18788,4661,1253,311,25
C_1260,2,5,3156,1248,1578,624,40
C_1261,9,2,53219,11140,5913,1238,21
C_1262,3,3,3865,1202,1288,401,31
C_1263,4,2,6297,550,1574,138,9
C_1264,4,2,6297,550,1574,138,9
C_1265,26,2,11352,1694,437,65,15
C_1266,32,2,46683,9625,1459,301,21
C_1267,10,3,4676,1270,468,127,27
C_1268,4,2,5401,983,1350,246,18
C_1269,23,2,75345,12995,3276,565,17
C_127,11,2,6622,738,602,67,11
C_1270,1,2,775,178,775,178,23
C_1271,1,2,775,178,775,178,23
C_1272,8,2,48331,11200,6041,1400,23
C_1273,8,5,3915,361,489,45,9
C_1274,6,3,5279,841,880,140,16
C_1275,2,3,966,132,483,66,14
C_1276,4,5,6240,1070,1560,268,17
C_1277,2,2,2075,869,1038,435,42
C_1278,13,2,7148,1957,550,151,27
C_1279,8,2,5751,460,719,58,8
C_128,1,3,560,332,560,332,59
C_1280,15,2,4542,586,303,39,13
C_1281,18,2,11452,1553,636,86,14
C_1282,9,2,9658,1084,1073,120,11
C_1283,5,2,10592,3920,2118,784,37
C_1284,29,2,31350,6504,1081,224,21
C_1285,19,2,9087,1646,478,87,18
C_1286,8,2,24874,3305,3109,413,13
C_1287,4,2,6778,954,1695,239,14
C_1288,8,3,8721,1875,1090,234,21
C_1289,16,3,46276,16965,2892,1060,37
C_129,27,2,58846,10291,2179,381,17
C_1290,4,5,4198,604,1050,151,14
C_1291,11,2,11355,1000,1032,91,9
C_1292,4,5,30270,5510,7568,1378,18
C_1293,1,3,234,57,234,57,24
C_1294,8,3,8248,1351,1031,169,16
C_1295,7,2,3317,507,474,72,15
C_1296,23,2,62182,6762,2704,294,11
C_1297,2,5,1303,220,652,110,17
C_1298,26,3,15889,2353,611,91,15
C_1299,19,3,35836,5037,1886,265,14
C_13,6,2,4418,463,736,77,10
C_130,30,2,134732,18263,4491,609,14
C_1300,6,5,13950,831,2325,139,6
C_1301,17,2,31219,5355,1836,315,17
C_1302,9,3,7300,2597,811,289,36
C_1303,45,2,127182,27674,2826,615,22
C_1304,14,2,51499,8607,3679,615,17
C_1305,3,1,6010,1053,2003,351,18
C_1306,19,2,82810,13371,4358,704,16
C_1307,24,3,24592,3534,1025,147,14
C_1308,1,2,76,6,76,6,8
C_1309,1,2,336,72,336,72,21
C_131,3,1,102393,8098,34131,2699,8
C_1310,16,3,6955,2124,435,133,31
C_1311,5,5,5700,120,1140,24,2
C_1312,22,2,20849,4874,948,222,23
C_1313,1,2,55,17,55,17,31
C_1314,4,3,3160,369,790,92,12
C_1315,2,2,2480,143,1240,72,6
C_1316,20,3,27676,8904,1384,445,32
C_1317,2,5,600,94,300,47,16
C_1318,17,2,23973,2669,1410,157,11
C_1319,11,3,6964,1263,633,115,18
C_132,26,3,39197,9879,1508,380,25
C_1320,1,1,198,38,198,38,19
C_1321,5,3,5606,539,1121,108,10
C_1322,22,2,186547,18844,8479,857,10
C_1323,5,3,12400,4373,2480,875,35
C_1324,5,2,3274,394,655,79,12
C_1325,15,3,17768,5588,1185,373,31
C_1326,15,3,13606,2808,907,187,21
C_1327,1,3,3240,457,3240,457,14
C_1328,1,3,89,24,89,24,27
C_1329,2,5,2816,437,1408,219,16
C_133,1,3,216,71,216,71,33
C_1330,13,3,26666,6365,2051,490,24
C_1331,11,3,13303,1420,1209,129,11
C_1332,15,2,22225,2838,1482,189,13
C_1333,14,2,29047,7027,2075,502,24
C_1334,1,2,9493,303,9493,303,3
C_1335,13,2,8365,1008,643,78,12
C_1336,19,3,22896,10186,1205,536,44
C_1337,2,5,6210,1771,3105,886,29
C_1338,19,2,5786,1295,305,68,22
C_1339,19,2,4426,1062,233,56,24
C_134,7,3,5487,1621,784,232,30
C_1340,6,3,7745,1029,1291,172,13
C_1341,32,3,47323,13162,1479,411,28
C_1342,14,2,9521,1612,680,115,17
C_1343,25,2,98178,21968,3927,879,22
C_1344,32,2,88286,24706,2759,772,28
C_1345,22,2,114537,29788,5206,1354,26
C_1346,2,1,3210,796,1605,398,25
C_1347,20,2,9451,999,473,50,11
C_1348,9,2,24581,3729,2731,414,15
C_1349,16,3,42183,10539,2636,659,25
C_135,11,2,72892,18641,6627,1695,26
C_1350,5,2,1186,187,237,37,16
C_1351,8,2,1855,283,232,35,15
C_1352,5,2,1248,192,250,38,15
C_1353,2,5,395,117,198,59,30
C_1354,2,2,22314,3371,11157,1686,15
C_1355,1,3,550,67,550,67,12
C_1356,1,3,736,91,736,91,12
C_1357,21,2,24778,10524,1180,501,42
C_1358,2,1,27195,3160,13598,1580,12
C_1359,3,2,11341,2933,3780,978,26
C_136,1,3,13770,661,13770,661,5
C_1360,7,3,5640,1180,806,169,21
C_1361,19,3,7204,1542,379,81,21
C_1362,3,2,1350,235,450,78,17
C_1363,24,2,17737,2009,739,84,11
C_1364,6,3,2190,262,365,44,12
C_1365,2,5,1980,978,990,489,49
C_1366,10,2,3225,396,323,40,12
C_1367,16,2,5064,1195,317,75,24
C_1368,4,3,2191,1136,548,284,52
C_1369,11,2,19521,2381,1775,216,12
C_137,29,5,34978,8679,1206,299,25
C_1370,5,3,14345,2895,2869,579,20
C_1371,12,2,5290,605,441,50,11
C_1372,15,2,7080,885,472,59,12
C_1373,19,3,32264,4417,1698,232,14
C_1374,3,2,3483,366,1161,122,11
C_1375,14,3,10495,2465,750,176,23
C_1376,7,2,4640,958,663,137,21
C_1377,17,2,39044,13258,2297,780,34
C_1378,1,2,300,34,300,34,11
C_1379,18,2,7265,1510,404,84,21
C_138,11,3,11838,925,1076,84,8
C_1380,18,3,8956,2310,498,128,26
C_1381,2,2,158,48,79,24,31
C_1382,7,5,44944,6814,6421,973,15
C_1383,6,2,2657,807,443,135,30
C_1384,19,2,14757,1976,777,104,13
C_1385,8,2,8586,2743,1073,343,32
C_1386,21,2,24864,3669,1184,175,15
C_1387,18,5,13484,1878,749,104,14
C_1388,15,3,11679,1971,779,131,17
C_1389,25,3,42823,8122,1713,325,19
C_139,2,5,364,207,182,104,57
C_1390,25,3,58985,10502,2359,420,18
C_1391,19,3,11649,2389,613,126,21
C_1392,13,2,15373,2748,1183,211,18
C_1393,1,4,1410,458,1410,458,32
C_1394,16,5,40158,6073,2510,380,15
C_1395,39,2,130619,29429,3349,755,23
C_1396,33,2,60571,17843,1835,541,29
C_1397,1,2,1680,278,1680,278,17
C_1398,26,2,7737,1382,298,53,18
C_1399,26,2,7737,1382,298,53,18
C_14,5,1,4318,1529,864,306,35
C_140,12,2,31527,3280,2627,273,10
C_1400,1,2,434,86,434,86,20
C_1401,14,2,17171,2643,1227,189,15
C_1402,2,2,1023,220,512,110,22
C_1403,6,2,8121,821,1354,137,10
C_1404,27,2,122083,21773,4522,806,18
C_1405,16,2,8370,1926,523,120,23
C_1406,2,5,3476,37,1738,19,1
C_1407,18,2,38327,7255,2129,403,19
C_1408,8,2,16336,1208,2042,151,7
C_1409,1,2,70,44,70,44,63
C_141,3,2,1750,864,583,288,49
C_1410,3,2,1388,561,463,187,40
C_1411,20,2,11140,2047,557,102,18
C_1412,1,1,2600,1159,2600,1159,45
C_1413,2,3,955,53,478,27,6
C_1414,4,3,807,237,202,59,29
C_1415,21,2,53779,11498,2561,548,21
C_1416,2,5,546,164,273,82,30
C_1417,14,2,133121,11160,9509,797,8
C_1418,24,2,34663,8542,1444,356,25
C_1419,28,2,160758,29417,5741,1051,18
C_142,16,3,21334,4278,1333,267,20
C_1420,26,2,203409,45950,7823,1767,23
C_1421,25,2,65608,15028,2624,601,23
C_1422,3,2,3215,487,1072,162,15
C_1423,7,2,16219,1848,2317,264,11
C_1424,2,5,3663,1377,1832,689,38
C_1425,1,2,1400,376,1400,376,27
C_1426,5,3,6019,788,1204,158,13
C_1427,1,2,230,9,230,9,4
C_1428,27,2,44731,6580,1657,244,15
C_1429,20,5,17653,4049,883,202,23
C_143,26,2,18559,4157,714,160,22
C_1430,18,2,16982,3521,943,196,21
C_1431,5,2,69375,33976,13875,6795,49
C_1432,24,3,47966,10748,1999,448,22
C_1433,19,2,9384,1362,494,72,15
C_1434,20,2,14881,2477,744,124,17
C_1435,1,3,5980,3291,5980,3291,55
C_1436,9,2,9548,4812,1061,535,50
C_1437,15,5,64298,19076,4287,1272,30
C_1438,11,5,5632,718,512,65,13
C_1439,20,2,50352,9902,2518,495,20
C_144,15,2,5369,611,358,41,11
C_1440,7,3,4319,622,617,89,14
C_1441,12,3,9739,1123,812,94,12
C_1442,34,3,117740,91985,3463,2705,78
C_1443,5,5,4796,2612,959,522,54
C_1444,21,2,28118,3282,1339,156,12
C_1445,5,2,7603,1258,1521,252,17
C_1446,3,2,2583,343,861,114,13
C_1447,39,2,40234,8327,1032,214,21
C_1448,11,2,7183,1093,653,99,15
C_1449,1,3,2916,1138,2916,1138,39
C_145,14,3,16505,5235,1179,374,32
C_1450,4,2,5907,1892,1477,473,32
C_1451,16,2,13080,2662,818,166,20
C_1452,1,2,800,24,800,24,3
C_1453,6,3,4826,2734,804,456,57
C_1454,5,2,1907,426,381,85,22
C_1455,4,5,2018,421,505,105,21
C_1456,15,3,5931,1715,395,114,29
C_1457,30,2,32072,7481,1069,249,23
C_1458,28,2,51269,9264,1831,331,18
C_1459,41,3,55454,16217,1353,396,29
C_146,4,2,4750,2220,1188,555,47
C_1460,31,3,14122,3826,456,123,27
C_1461,6,2,5321,1245,887,208,23
C_1462,22,2,9460,2368,430,108,25
C_1463,4,3,2048,378,512,95,18
C_1464,5,3,2140,312,428,62,15
C_1465,2,2,4790,422,2395,211,9
C_1466,2,2,307,105,154,53,34
C_1467,12,2,14526,2882,1211,240,20
C_1468,4,5,2122,331,531,83,16
C_147,12,3,9256,2718,771,227,29
C_1470,5,5,1547,275,309,55,18
C_1471,19,2,33511,9225,1764,486,28
C_1472,13,2,5031,791,387,61,16
C_1473,31,2,180213,32627,5813,1052,18
C_1474,22,2,27888,3302,1268,150,12
C_1475,3,5,2182,932,727,311,43
C_1476,15,2,9350,1934,623,129,21
C_1477,5,2,4840,410,968,82,8
C_1478,2,5,16369,1635,8185,818,10
C_1479,3,2,7534,1339,2511,446,18
C_148,38,1,220205,151862,5795,3996,69
C_1480,10,2,3304,766,330,77,23
C_1481,29,2,41077,8029,1416,277,20
C_1482,33,3,28514,7156,864,217,25
C_1483,9,3,3616,866,402,96,24
C_1484,26,2,29730,4164,1143,160,14
C_1485,44,2,48018,15346,1091,349,32
C_1486,18,3,28554,7217,1586,401,25
C_1487,16,2,10268,1407,642,88,14
C_1488,9,2,6497,1264,722,140,19
C_1489,4,2,2795,147,699,37,5
C_149,14,2,48556,5092,3468,364,10
C_1490,39,5,35243,8074,904,207,23
C_1491,23,3,12854,2715,559,118,21
C_1492,10,3,46310,12511,4631,1251,27
C_1493,23,3,124983,16341,5434,710,13
C_1494,4,3,1925,805,481,201,42
C_1495,6,2,2708,117,451,20,4
C_1496,13,2,5600,996,431,77,18
C_1497,28,2,66241,9603,2366,343,14
C_1498,12,1,7868,2686,656,224,34
C_1499,8,2,14444,3997,1806,500,28
C_15,1,2,8226,2694,8226,2694,33
C_150,7,2,1136,86,162,12,8
C_1500,18,2,20496,4869,1139,271,24
C_1501,1,2,288,164,288,164,57
C_1502,8,2,22786,2069,2848,259,9
C_1503,8,5,17151,2938,2144,367,17
C_1504,15,2,8457,1851,564,123,22
C_1505,14,2,7913,1319,565,94,17
C_1506,6,2,6878,1068,1146,178,16
C_1507,28,3,65837,27563,2351,984,42
C_1508,28,2,44934,8702,1605,311,19
C_1509,6,2,1529,225,255,38,15
C_151,16,3,20086,3949,1255,247,20
C_1510,26,2,21660,5870,833,226,27
C_1511,10,3,6781,1571,678,157,23
C_1512,14,2,11960,1548,854,111,13
C_1513,22,2,46180,13133,2099,597,28
C_1514,10,2,9432,809,943,81,9
C_1515,2,2,4237,207,2119,104,5
C_1516,29,2,26732,6144,922,212,23
C_1517,6,3,690,84,115,14,12
C_1518,6,2,15177,3814,2530,636,25
C_1519,4,3,1593,121,398,30,8
C_152,41,3,24105,5916,588,144,25
C_1520,13,2,9853,1557,758,120,16
C_1521,6,3,4356,705,726,118,16
C_1522,35,3,30961,7776,885,222,25
C_1523,13,3,11031,2459,849,189,22
C_1524,10,2,19983,1763,1998,176,9
C_1525,2,2,1496,189,748,95,13
C_1526,2,2,14512,5350,7256,2675,37
C_1527,6,2,5700,901,950,150,16
C_1528,3,3,905,86,302,29,10
C_1529,6,2,3248,814,541,136,25
C_153,40,3,23800,5841,595,146,25
C_1530,12,2,17150,4849,1429,404,28
C_1531,1,2,765,130,765,130,17
C_1532,10,2,6716,1239,672,124,18
C_1533,5,2,4664,1335,933,267,29
C_1534,5,2,28466,5772,5693,1154,20
C_1535,1,2,336,191,336,191,57
C_1536,2,5,10810,2266,5405,1133,21
C_1537,12,2,8390,1479,699,123,18
C_1538,9,2,5819,1259,647,140,22
C_1539,4,5,2300,176,575,44,8
C_154,43,3,127967,29649,2976,690,23
C_1540,7,2,11260,3104,1609,443,28
C_1541,22,2,20491,3706,931,168,18
C_1542,2,2,2120,258,1060,129,12
C_1543,18,2,20683,3397,1149,189,16
C_1544,32,3,12235,4244,382,133,35
C_1545,34,3,42536,10034,1251,295,24
C_1546,4,2,3150,165,788,41,5
C_1547,39,2,77108,14384,1977,369,19
C_1548,26,3,10010,3039,385,117,30
C_1549,14,2,11633,2615,831,187,22
C_155,27,2,56470,11937,2091,442,21
C_1550,6,2,4541,1027,757,171,23
C_1551,21,2,10014,2473,477,118,25
C_1552,5,2,14440,1149,2888,230,8
C_1553,29,5,15963,2332,550,80,15
C_1554,12,2,7892,1311,658,109,17
C_1555,15,2,11723,2486,782,166,21
C_1556,4,3,1347,151,337,38,11
C_1557,23,2,22729,3910,988,170,17
C_1558,20,2,20785,3529,1039,176,17
C_1559,20,2,11420,2118,571,106,19
C_156,32,2,246087,23672,7690,740,10
C_1560,29,2,63420,9724,2187,335,15
C_1561,9,2,6484,1267,720,141,20
C_1562,3,2,8321,3072,2774,1024,37
C_1563,7,2,2732,807,390,115,30
C_1564,12,3,3679,609,307,51,17
C_1565,5,2,3945,274,789,55,7
C_1566,28,2,21666,4846,774,173,22
C_1567,1,2,73,10,73,10,14
C_1568,18,3,22238,2836,1235,158,13
C_1569,1,2,650,69,650,69,11
C_157,30,2,41901,6983,1397,233,17
C_1570,27,2,15297,3201,567,119,21
C_1571,1,2,105,2,105,2,2
C_1572,8,2,12594,3233,1574,404,26
C_1573,11,2,16995,2895,1545,263,17
C_1574,9,3,12228,4613,1359,513,38
C_1575,27,2,30132,4286,1116,159,14
C_1576,19,2,9646,1626,508,86,17
C_1577,6,5,1441,196,240,33,14
C_1578,4,3,3350,468,838,117,14
C_1579,3,2,2270,205,757,68,9
C_158,2,2,7677,2017,3839,1009,26
C_1580,4,5,1403,159,351,40,11
C_1581,11,2,5607,1568,510,143,28
C_1582,24,3,26343,5543,1098,231,21
C_1583,2,5,400,14,200,7,4
C_1584,33,2,37077,6239,1124,189,17
C_1585,1,2,73,10,73,10,14
C_1586,1,2,540,9,540,9,2
C_1587,21,3,15554,4668,741,222,30
C_1588,12,2,7352,684,613,57,9
C_1589,8,2,2089,329,261,41,16
C_159,32,2,112578,20722,3518,648,18
C_1590,1,2,660,126,660,126,19
C_1591,2,2,5535,578,2768,289,10
C_1592,12,5,11914,1811,993,151,15
