ID Cliente,ID Producto,Precio Total
C_1796,P_8,74
C_1796,P_110,3
C_2933,P_185,3.700
C_2934,P_244,900
C_2733,P_26,205
C_2733,P_76,524
C_2733,P_190,1.725
C_2733,P_244,400
C_2438,P_26,68
C_2438,P_76,142
C_2438,P_185,510
C_2482,P_421,576
C_975,P_244,960
C_149,P_185,1.080
C_149,P_244,300
C_2190,P_190,610
C_2190,P_236,68
C_2190,P_408,73
C_2771,P_185,89
C_298,P_297,300
C_298,P_418,30
C_674,P_219,332
C_2464,P_421,144
C_156,P_165,300
C_2935,P_185,165
C_2168,P_211,273
C_1049,P_163,346
C_2286,P_245,70
C_2286,P_258,1.200
C_2734,P_10,220
C_2734,P_212,24
C_2734,P_273,2
C_1344,P_233,3.575
C_1347,P_185,158
C_1347,P_335,123
C_570,P_76,568
C_570,P_185,2.475
C_570,P_236,1.200
C_570,P_244,200
C_570,P_335,125
C_2046,P_263,350
C_1289,P_187,3.150
C_2847,P_418,27
C_1852,P_163,216
C_2470,P_26,120
C_2936,P_310,375
C_335,P_76,378
C_335,P_185,240
C_335,P_244,120
C_2937,P_264,174
C_2938,P_163,864
C_2938,P_185,7.400
C_2277,P_97,160
C_2277,P_335,875
C_2277,P_419,21
C_195,P_297,1.560
C_2939,P_335,2.358
C_2630,P_335,780
C_2940,P_41,136
C_2940,P_236,135
C_2940,P_244,150
C_1072,P_151,276
C_594,P_41,610
C_594,P_190,810
C_494,P_41,1.156
C_494,P_419,135
C_2558,P_8,300
C_218,P_421,210
C_1996,P_38,1.440
C_1996,P_236,2.051
C_1996,P_335,4.703
C_1996,P_350,1.200
C_1996,P_430,1.512
C_725,P_56,700
C_725,P_173,450
C_725,P_185,1.530
C_2279,P_135,180
C_2941,P_41,864
C_2941,P_185,2.204
C_2941,P_419,22
C_2610,P_310,1.819
C_1720,P_310,850
C_2372,P_391,70
C_2853,P_38,18.585
C_2942,P_310,250
C_2943,P_185,340
C_741,P_185,237
C_741,P_263,160
C_741,P_284,65
C_741,P_335,1.375
C_741,P_185,79
C_741,P_335,875
C_2510,P_335,420
C_2705,P_42,396
C_2705,P_76,260
C_32,P_76,38
C_949,P_151,130
C_1874,P_57,885
C_405,P_218,275
C_1255,P_41,476
C_1255,P_97,120
C_1255,P_185,858
C_1255,P_419,21
C_410,P_76,138
C_410,P_245,70
C_1796,P_185,87
C_1796,P_419,8
C_1599,P_190,325
C_275,P_185,1.520
C_275,P_388,4.255
C_47,P_76,34
C_668,P_185,5.621
C_2944,P_57,4.897
C_2944,P_284,1.500
C_2579,P_335,133
C_51,P_76,125
C_2843,P_335,290
C_1485,P_173,70
C_2945,P_286,52.114
C_2383,P_185,192
C_560,P_26,288
C_560,P_185,80
C_560,P_236,58
C_1490,P_39,130
C_1348,P_76,264
C_1348,P_185,996
C_1348,P_242,1.050
C_1348,P_335,3.850
C_68,P_76,43
C_1838,P_76,140
C_1838,P_185,450
C_2085,P_57,767
C_1012,P_126,240
C_2946,P_38,2.520
C_2946,P_185,7.400
C_2403,P_41,780
C_2403,P_245,350
C_2403,P_408,363
C_2403,P_419,8
C_2947,P_190,986
C_2901,P_8,220
C_102,P_308,465
C_1520,P_151,120
C_1520,P_185,395
C_1520,P_236,113
C_1520,P_284,120
C_1913,P_97,160
C_1913,P_185,395
C_123,P_41,3.150
C_123,P_408,1.450
C_644,P_419,8
C_1669,P_92,31.350
C_129,P_41,357
C_129,P_350,255
C_957,P_8,2.040
C_957,P_419,28
C_2023,P_185,1.750
C_2023,P_244,7.000
C_660,P_190,335
C_416,P_8,336
C_146,P_297,580
C_2948,P_185,800
C_2948,P_263,340
C_2948,P_284,60
C_426,P_185,14.800
C_1430,P_41,119
C_1430,P_182,248
C_1430,P_350,85
C_1437,P_8,450
C_56,P_344,90
C_567,P_185,640
C_567,P_263,1.020
C_567,P_328,156
C_2949,P_41,36
C_2949,P_236,86
C_2949,P_264,261
C_572,P_244,150
C_572,P_402,132
C_787,P_185,1.580
C_2235,P_185,80
C_2237,P_41,189
C_2237,P_185,200
C_2238,P_41,189
C_2238,P_185,200
C_2051,P_314,165
C_1008,P_185,400
C_2950,P_41,128
C_2950,P_57,378
C_2950,P_97,90
C_2950,P_185,648
C_2951,P_100,660
C_2951,P_284,60
C_2952,P_41,85
C_2952,P_236,86
C_2952,P_264,261
C_197,P_44,240
C_197,P_308,520
C_1929,P_76,552
C_2953,P_8,375
C_493,P_165,264
C_2954,P_41,127
C_2954,P_185,254
C_361,P_310,92
C_2255,P_221,806
C_2255,P_244,150
C_2255,P_253,480
C_2255,P_264,368
C_2255,P_335,383
C_239,P_253,5.600
C_1913,P_185,1.975
C_1173,P_388,180
C_2955,P_297,1.520
C_2732,P_8,28
C_2732,P_110,1
C_284,P_165,264
C_1950,P_77,560
C_1950,P_348,1.540
C_1605,P_220,135
C_1605,P_284,60
C_2426,P_41,119
C_2426,P_185,237
C_2426,P_244,420
C_2426,P_264,680
C_2426,P_419,7
C_2426,P_421,870
C_50,P_82,190
C_50,P_185,474
C_50,P_323,1.748
C_50,P_421,5.022
C_2956,P_310,134
C_2957,P_310,33
C_2692,P_62,140
C_2958,P_41,1.426
C_2958,P_57,362
C_2958,P_185,632
C_2958,P_236,562
C_2958,P_310,672
C_2958,P_322,455
C_2958,P_419,11
C_72,P_424,340
C_1580,P_419,30
C_241,P_310,63
C_241,P_344,28
C_2855,P_76,23.400
C_2883,P_335,140
C_39,P_419,40
C_839,P_185,258
C_315,P_310,63
C_315,P_344,28
C_2847,P_408,65
C_1561,P_41,240
C_1561,P_359,366
C_2526,P_335,265
C_2959,P_145,1.428
C_2418,P_173,70
C_2418,P_382,385
C_2418,P_391,73
C_909,P_314,400
C_596,P_42,113
C_596,P_185,89
C_596,P_284,66
C_599,P_391,2.030
C_2370,P_408,100
C_2370,P_419,8
C_2960,P_190,76
C_2279,P_263,330
C_233,P_76,1.770
C_943,P_388,220
C_1034,P_185,780
C_2855,P_76,23.400
C_1164,P_41,595
C_1164,P_185,395
C_1164,P_244,300
C_2741,P_310,345
C_2741,P_400,88
C_2150,P_41,408
C_2150,P_190,700
C_2150,P_335,675
C_2150,P_350,240
C_2150,P_419,9
C_2512,P_401,54
C_1473,P_41,610
C_1473,P_208,480
C_2760,P_41,272
C_2760,P_190,828
C_2760,P_408,228
C_2760,P_419,18
C_1405,P_335,133
C_650,P_41,136
C_650,P_190,207
C_650,P_221,140
C_650,P_408,76
C_529,P_182,330
C_529,P_408,69
C_530,P_310,1.250
C_2961,P_41,8.475
C_2961,P_185,22.420
C_2961,P_350,183
C_2322,P_185,390
C_539,P_34,6.408
C_539,P_126,6.408
C_2962,P_245,495
C_2962,P_419,62
C_666,P_335,160
C_2462,P_236,296
C_2963,P_41,123
C_2963,P_190,252
C_2963,P_419,7
C_2284,P_263,870
C_2884,P_39,125
C_2114,P_335,550
C_2964,P_185,316
C_2965,P_185,316
C_2966,P_335,390
C_1049,P_41,936
C_1049,P_57,406
C_1049,P_185,760
C_1049,P_221,158
C_1049,P_244,325
C_2286,P_185,246
C_2286,P_284,60
C_570,P_314,400
C_2967,P_220,140
C_2967,P_284,60
C_2967,P_297,108
C_2967,P_419,7
C_2775,P_245,280
C_1205,P_41,1.440
C_2239,P_41,378
C_2239,P_185,810
C_2239,P_419,16
C_2968,P_42,116
C_2968,P_190,610
C_2968,P_335,405
C_1063,P_41,702
C_1063,P_40,1.053
C_1063,P_163,1.706
C_1565,P_334,2.380
C_2969,P_335,2.100
C_1711,P_76,140
C_801,P_308,1.395
C_801,P_350,300
C_902,P_41,5.500
C_902,P_163,1.440
C_902,P_185,26.250
C_902,P_270,9.035
C_902,P_284,1.700
C_902,P_333,17.940
C_902,P_388,3.540
C_2970,P_335,650
C_1140,P_185,790
C_1140,P_418,7
C_2527,P_38,3.500
C_2971,P_163,1.224
C_1071,P_190,64
C_1071,P_335,134
C_592,P_41,5.780
C_592,P_182,8.325
C_1459,P_80,412
C_1367,P_185,395
C_1367,P_236,56
C_1367,P_408,70
C_1367,P_419,12
C_2316,P_312,9.558
C_355,P_335,945
C_355,P_389,130
C_1231,P_185,5.550
C_815,P_185,1.600
C_815,P_419,20
C_1382,P_8,2.688
C_2972,P_60,24.840
C_384,P_185,11.550
C_1159,P_26,554
C_2973,P_185,7.560
C_1520,P_419,13
C_1034,P_185,1.975
C_2974,P_185,790
C_1787,P_163,1.285
C_1587,P_284,126
C_1587,P_408,160
C_2512,P_38,216
C_2512,P_174,73
C_2512,P_185,243
C_2512,P_245,140
C_2512,P_408,222
C_2010,P_185,516
C_2010,P_284,130
C_2010,P_388,750
C_2010,P_408,153
C_2975,P_41,381
C_2975,P_190,660
C_1670,P_41,136
C_1670,P_76,552
C_1670,P_408,152
C_1670,P_421,880
C_125,P_190,737
C_261,P_419,100
C_524,P_214,580
C_524,P_308,1.440
C_2932,P_8,16
C_2932,P_110,1
C_2164,P_146,270
C_2023,P_185,26.250
C_2023,P_245,7.000
C_134,P_41,272
C_134,P_185,968
C_134,P_421,384
C_2976,P_34,600
C_2976,P_185,158
C_2976,P_288,32
C_2976,P_335,135
C_426,P_419,120
C_154,P_41,6.500
C_154,P_97,270
C_154,P_163,2.160
C_154,P_185,8.900
C_154,P_407,990
C_2977,P_41,950
C_2977,P_57,241
C_2977,P_163,724
C_2977,P_185,632
C_2977,P_236,337
C_2977,P_419,6
C_2978,P_185,7.400
C_2978,P_350,600
C_566,P_151,160
C_566,P_335,260
C_2957,P_310,33
C_1201,P_76,288
C_326,P_312,288
C_1289,P_41,272
C_1289,P_185,1.584
C_1289,P_221,2.520
C_1289,P_244,560
C_2603,P_190,126
C_2603,P_335,275
C_2958,P_163,672
C_1632,P_190,780
C_1632,P_335,389
C_1498,P_43,70
C_1498,P_110,2
C_197,P_44,480
C_197,P_308,1.040
C_1149,P_41,1.008
C_1149,P_76,288
C_1149,P_335,540
C_1149,P_350,180
C_1149,P_419,15
C_2979,P_185,158
C_2558,P_8,300
C_2980,P_163,414
C_98,P_38,276
C_98,P_97,200
C_98,P_419,23
C_1864,P_13,300
C_1864,P_41,240
C_110,P_98,245
C_110,P_192,120
C_110,P_211,500
C_1164,P_41,595
C_1164,P_185,395
C_255,P_41,595
C_255,P_185,711
C_255,P_350,170
C_830,P_26,480
C_830,P_76,1.300
C_830,P_310,3.150
C_2728,P_63,63
C_2728,P_344,23
C_2981,P_41,1.250
C_39,P_41,357
C_2729,P_142,760
C_2729,P_335,1.750
C_1101,P_8,83
C_1101,P_113,3
C_1102,P_185,640
C_2932,P_335,140
C_2324,P_185,440
C_2324,P_221,280
C_2324,P_284,132
C_135,P_41,4.522
C_135,P_57,1.733
C_135,P_312,15.355
C_1799,P_185,356
C_1799,P_335,825
C_278,P_41,595
C_278,P_57,671
C_278,P_185,720
C_278,P_284,455
C_2982,P_42,800
C_49,P_419,54
C_2815,P_312,222
C_2983,P_297,75
C_675,P_163,533
C_675,P_185,1.066
C_675,P_236,180
C_159,P_151,1.050
C_676,P_8,540
C_983,P_8,120
C_2832,P_335,1.250
C_866,P_41,264
C_866,P_190,603
C_866,P_310,1.560
C_1490,P_39,130
C_2046,P_151,210
C_322,P_151,210
C_322,P_163,108
C_322,P_236,135
C_322,P_288,87
C_64,P_34,935
C_1623,P_44,960
C_1623,P_214,736
C_2967,P_220,70
C_2967,P_419,7
C_2847,P_41,476
C_2847,P_185,640
C_2847,P_284,390
C_2847,P_418,0
C_2051,P_42,104
C_2051,P_245,70
C_1927,P_190,67
C_1213,P_57,1.232
C_1213,P_185,1.975
C_1928,P_40,696
C_1928,P_185,1.580
C_1928,P_419,14
C_1076,P_163,53
C_1661,P_264,534
C_1661,P_335,530
C_1661,P_421,1.128
C_828,P_185,83
C_2984,P_335,383
C_981,P_246,484
C_1817,P_163,222
C_1819,P_163,555
C_1819,P_372,216
C_776,P_185,486
C_776,P_245,83
C_2236,P_37,68
C_1930,P_38,809
C_1930,P_41,1.071
C_1930,P_163,1.607
C_1930,P_236,1.069
C_1930,P_419,13
C_2418,P_310,460
C_2313,P_185,5.688
C_594,P_185,2.212
C_1933,P_335,840
C_8,P_41,1.071
C_8,P_163,434
C_8,P_236,394
C_8,P_419,13
C_601,P_208,118
C_2317,P_312,9.558
C_101,P_310,240
C_1939,P_263,2.960
C_1939,P_284,1.040
C_1913,P_419,25
C_2291,P_76,1.740
C_2291,P_97,160
C_2291,P_185,553
C_2291,P_335,750
C_2985,P_335,125
C_2986,P_8,180
C_29,P_97,360
C_29,P_142,3.145
C_29,P_185,2.370
C_29,P_235,56
C_29,P_236,956
C_2512,P_419,45
C_396,P_41,597
C_396,P_61,220
C_396,P_208,110
C_396,P_220,1.350
C_2975,P_41,254
C_2975,P_190,462
C_529,P_182,330
C_268,P_377,195
C_2987,P_76,126
C_2033,P_185,246
C_2581,P_70,150
C_1889,P_41,238
C_1889,P_244,560
C_1889,P_253,1.240
C_1889,P_264,502
C_1434,P_38,70
C_1434,P_310,660
C_1437,P_8,180
C_446,P_185,395
C_446,P_310,115
C_447,P_297,829
C_1348,P_76,660
C_2967,P_190,73
C_2988,P_297,440
C_2938,P_38,2.022
C_196,P_221,280
C_196,P_236,1.350
C_1713,P_76,130
C_85,P_41,240
C_85,P_76,252
C_85,P_236,189
C_85,P_244,140
C_2394,P_335,260
C_2655,P_264,184
C_2655,P_350,75
C_2655,P_421,204
C_2769,P_41,357
C_2769,P_185,880
C_619,P_185,5.069
C_1238,P_23,250
C_1238,P_190,345
C_1238,P_236,258
C_2726,P_42,2.544
C_29,P_97,240
C_29,P_236,225
C_2989,P_41,260
C_258,P_41,248
C_258,P_284,126
C_258,P_388,490
C_2990,P_8,304
C_2990,P_110,15
C_2728,P_310,621
C_2991,P_41,2.975
C_2991,P_185,1.580
C_262,P_190,345
C_652,P_310,4.387
C_528,P_185,27.920
C_528,P_344,1.062
C_530,P_310,500
C_2992,P_190,201
C_957,P_97,45
C_2993,P_185,2.480
C_2944,P_57,1.121
C_2994,P_236,135
C_2994,P_350,150
C_2994,P_419,8
C_1741,P_185,160
C_1741,P_335,135
C_1686,P_41,134
C_1686,P_185,352
C_1956,P_317,180
C_1924,P_76,138
C_2832,P_335,125
C_2995,P_185,405
C_991,P_38,13.440
C_991,P_245,3.600
C_991,P_289,4.375
C_991,P_364,3.990
C_991,P_410,11.457
C_996,P_185,166
C_996,P_335,275
C_686,P_41,121
C_686,P_185,237
C_63,P_62,210
C_2360,P_185,1.840
C_2305,P_41,372
C_2305,P_70,70
C_2305,P_419,8
C_465,P_185,1.840
C_2695,P_70,66
C_2392,P_297,2.249
C_796,P_41,248
C_904,P_41,476
C_904,P_335,375
C_904,P_408,218
C_904,P_421,374
C_706,P_41,910
C_706,P_163,1.205
C_706,P_185,2.460
C_706,P_245,300
C_2996,P_57,929
C_2996,P_60,5.760
C_1989,P_185,164
C_719,P_383,35
C_2334,P_185,164
C_2334,P_380,330
C_2334,P_419,15
C_1905,P_38,3.360
C_1382,P_8,1.344
C_503,P_23,9.660
C_503,P_221,13.250
C_733,P_263,342
C_2997,P_41,122
C_2997,P_190,330
C_2997,P_419,6
C_384,P_41,130
C_384,P_97,146
C_384,P_236,65
C_2100,P_344,69
C_2100,P_419,14
C_2070,P_41,1.547
C_2070,P_57,2.563
C_2070,P_419,31
C_945,P_41,248
C_945,P_185,948
C_945,P_236,65
C_945,P_344,24
C_945,P_419,33
C_2150,P_62,378
C_1669,P_85,53.025
C_1175,P_310,1.125
C_528,P_57,10.374
C_2998,P_8,96
C_2823,P_335,280
C_2999,P_56,80
C_666,P_263,350
C_666,P_284,65
C_3000,P_41,520
C_3000,P_163,274
C_3000,P_236,203
C_3000,P_419,24
C_1958,P_41,240
C_1958,P_190,528
C_1958,P_236,60
C_440,P_221,68
C_440,P_284,60
C_455,P_26,240
C_455,P_76,144
C_1832,P_34,1.020
C_1832,P_245,300
C_1832,P_264,1.840
C_1832,P_335,560
C_3001,P_26,60
C_337,P_310,120
C_1019,P_38,73
C_1019,P_163,158
C_1019,P_185,246
C_2332,P_163,2.277
C_2332,P_419,656
C_1072,P_42,339
C_1072,P_151,276
C_1072,P_185,1.106
C_1646,P_314,1.120
C_2701,P_76,120
C_3002,P_190,420
C_1377,P_42,330
