#cliente,Gama_Productos,rango_precio,Facturacion,Margen_Bruto,Facturacion_s_#Producto,Margen_s_#Producto,Margen_s_Facturacion
C_1219,11,4,19238,4794,1749,436,25
C_122,47,4,25554,5140,544,109,20
C_1220,60,4,107296,17016,1788,284,16
C_1221,3,2,3124,375,1041,125,12
C_1222,17,4,3236,1008,190,59,31
C_1223,6,2,1597,139,266,23,9
C_1224,34,4,23733,6434,698,189,27
C_1225,3,4,4869,142,1623,47,3
C_1226,23,4,15942,2197,693,96,14
C_1227,43,4,16961,4114,394,96,24
C_1228,8,2,7662,2320,958,290,30
C_1229,13,4,24210,4180,1862,322,17
C_123,14,2,33047,10149,2361,725,31
C_1230,45,4,26687,3235,593,72,12
C_1231,10,4,7384,771,738,77,10
C_1232,35,4,29745,7907,850,226,27
C_1233,15,4,6778,1743,452,116,26
C_1234,28,4,21461,8420,766,301,39
C_1235,75,4,156275,18899,2084,252,12
C_1236,8,4,5411,1389,676,174,26
C_1237,20,4,47555,4588,2378,229,10
C_1238,37,4,24709,7413,668,200,30
C_1239,98,4,40956,11634,418,119,28
C_124,9,4,6984,1649,776,183,24
C_1240,98,4,40956,11543,418,118,28
C_1241,8,2,9198,1306,1150,163,14
C_1242,74,4,17743,4886,240,66,28
C_1243,1,2,394,63,394,63,16
C_1244,24,4,41789,4232,1741,176,10
C_1245,3,2,4215,265,1405,88,6
C_1246,40,4,26506,5976,663,149,23
C_1247,14,4,2392,487,171,35,20
C_1248,23,4,6492,1304,282,57,20
C_1249,1,2,108,0,108,0,0
C_125,39,4,19166,5878,491,151,31
C_1250,25,4,15750,2045,630,82,13
C_1251,2,4,4380,191,2190,96,4
C_1252,9,2,5116,1332,568,148,26
C_1253,1,2,1896,24,1896,24,1
C_1254,27,4,29658,5454,1098,202,18
C_1255,36,4,22584,2758,627,77,12
C_1256,31,4,37852,8229,1221,265,22
C_1257,95,4,69529,14517,732,153,21
C_1258,7,2,6096,1499,871,214,25
C_1259,69,4,53498,11605,775,168,22
C_126,17,4,18788,4661,1105,274,25
C_1260,7,2,3156,1248,451,178,40
C_1261,37,4,53219,11140,1438,301,21
C_1262,6,2,3865,1202,644,200,31
C_1263,6,2,6297,550,1049,92,9
C_1264,6,2,6297,550,1049,92,9
C_1265,45,4,11352,1694,252,38,15
C_1266,65,4,46683,9625,718,148,21
C_1267,10,4,4676,1270,468,127,27
C_1268,5,2,5401,983,1080,197,18
C_1269,23,4,75345,12995,3276,565,17
C_127,13,4,6622,738,509,57,11
C_1270,2,2,775,178,387,89,23
C_1271,2,2,775,178,387,89,23
C_1272,20,4,48331,11200,2417,560,23
C_1273,9,2,3915,361,435,40,9
C_1274,6,2,5279,841,880,140,16
C_1275,2,2,966,132,483,66,14
C_1276,4,2,6240,1070,1560,267,17
C_1277,5,2,2075,869,415,174,42
C_1278,25,4,7148,1957,286,78,27
C_1279,8,4,5751,460,719,57,8
C_128,1,2,560,332,560,332,59
C_1280,22,2,4542,586,206,27,13
C_1281,27,2,11452,1553,424,58,14
C_1282,14,2,9658,1084,690,77,11
C_1283,23,4,10592,3920,461,170,37
C_1284,45,4,31350,6504,697,145,21
C_1285,31,4,9087,1646,293,53,18
C_1286,11,2,24874,3305,2261,300,13
C_1287,5,4,6778,954,1356,191,14
C_1288,11,2,8721,1875,793,170,21
C_1289,27,4,46276,16965,1714,628,37
C_129,98,4,58846,10291,600,105,17
C_1290,8,4,4198,604,525,76,14
C_1291,16,4,11355,1000,710,63,9
C_1292,6,2,30270,5510,5045,918,18
C_1293,2,2,234,57,117,29,24
C_1294,16,2,8248,1351,515,84,16
C_1295,7,4,3317,507,474,72,15
C_1296,42,4,62182,6762,1481,161,11
C_1297,3,2,1303,220,434,73,17
C_1298,46,4,15889,2353,345,51,15
C_1299,33,2,35836,5037,1086,153,14
C_13,7,4,4418,463,631,66,10
C_130,69,4,134732,18263,1953,265,14
C_1300,7,2,13950,831,1993,119,6
C_1301,23,4,31219,5355,1357,233,17
C_1302,14,2,7300,2597,521,186,36
C_1303,122,4,127182,27674,1042,227,22
C_1304,23,4,51499,8607,2239,374,17
C_1305,3,4,6010,1053,2003,351,18
C_1306,50,4,82810,13371,1656,267,16
C_1307,53,4,24592,3534,464,67,14
C_1308,1,2,76,6,76,6,8
C_1309,1,2,336,72,336,72,21
C_131,6,4,102393,8098,17065,1350,8
C_1310,20,4,6955,2124,348,106,31
C_1311,6,4,5700,120,950,20,2
C_1312,31,4,20849,4874,673,157,23
C_1313,1,2,55,17,55,17,31
C_1314,4,2,3160,369,790,92,12
C_1315,2,2,2480,143,1240,71,6
C_1316,38,4,27676,8904,728,234,32
C_1317,3,2,600,94,200,31,16
C_1318,26,4,23973,2669,922,103,11
C_1319,14,2,6964,1263,497,90,18
C_132,75,4,39197,9879,523,132,25
C_1320,1,1,198,38,198,38,19
C_1321,5,2,5606,539,1121,108,10
C_1322,57,4,186547,18844,3273,331,10
C_1323,5,2,12400,4373,2480,875,35
C_1324,9,4,3274,394,364,44,12
C_1325,20,4,17768,5588,888,279,31
C_1326,25,2,13606,2808,544,112,21
C_1327,1,2,3240,457,3240,457,14
C_1328,1,2,89,24,89,24,27
C_1329,5,2,2816,437,563,87,16
C_133,2,2,216,71,108,35,33
C_1330,34,2,26666,6365,784,187,24
C_1331,14,4,13303,1420,950,101,11
C_1332,26,4,22225,2838,855,109,13
C_1333,19,4,29047,7027,1529,370,24
C_1334,1,2,9493,303,9493,303,3
C_1335,18,2,8365,1008,465,56,12
C_1336,23,4,22896,10186,995,443,44
C_1337,4,2,6210,1771,1553,443,29
C_1338,31,4,5786,1295,187,42,22
C_1339,29,4,4426,1062,153,37,24
C_134,9,2,5487,1621,610,180,30
C_1340,6,4,7745,1029,1291,171,13
C_1341,50,4,47323,13162,946,263,28
C_1342,19,4,9521,1612,501,85,17
C_1343,58,4,98178,21968,1693,379,22
C_1344,68,4,88286,24706,1298,363,28
C_1345,69,4,114537,29788,1660,432,26
C_1346,2,1,3210,796,1605,398,25
C_1347,27,4,9451,999,350,37,11
C_1348,18,4,24581,3729,1366,207,15
C_1349,25,4,42183,10539,1687,422,25
C_135,47,4,72892,18641,1551,397,26
C_1350,9,2,1186,187,132,21,16
C_1351,12,4,1855,283,155,24,15
C_1352,9,2,1248,192,139,21,15
C_1353,2,4,395,117,198,59,30
C_1354,4,4,22314,3371,5579,843,15
C_1355,1,2,550,67,550,67,12
C_1356,1,2,736,91,736,91,12
C_1357,43,4,24778,10524,576,245,42
C_1358,2,1,27195,3160,13598,1580,12
C_1359,5,2,11341,2933,2268,587,26
C_136,5,2,13770,661,2754,132,5
C_1360,7,2,5640,1180,806,169,21
C_1361,19,2,7204,1542,379,81,21
C_1362,3,4,1350,235,450,78,17
C_1363,39,4,17737,2009,455,52,11
C_1364,6,2,2190,262,365,44,12
C_1365,4,2,1980,978,495,245,49
C_1366,11,4,3225,396,293,36,12
C_1367,20,4,5064,1195,253,60,24
C_1368,6,4,2191,1136,365,189,52
C_1369,25,2,19521,2381,781,95,12
C_137,51,4,34978,8679,686,170,25
C_1370,5,2,14345,2895,2869,579,20
C_1371,21,4,5290,605,252,29,11
C_1372,21,4,7080,885,337,42,12
C_1373,27,4,32264,4417,1195,164,14
C_1374,3,2,3483,366,1161,122,11
C_1375,21,2,10495,2465,500,117,23
C_1376,14,4,4640,958,331,68,21
C_1377,28,4,39044,13258,1394,473,34
C_1378,1,2,300,34,300,34,11
C_1379,32,4,7265,1510,227,47,21
C_138,14,4,11838,925,846,66,8
C_1380,24,2,8956,2310,373,96,26
C_1381,2,2,158,48,79,24,31
C_1382,18,4,44944,6814,2497,379,15
C_1383,6,2,2657,807,443,135,30
C_1384,24,4,14757,1976,615,82,13
C_1385,12,4,8586,2743,715,229,32
C_1386,35,2,24864,3669,710,105,15
C_1387,25,2,13484,1878,539,75,14
C_1388,21,2,11679,1971,556,94,17
C_1389,54,4,42823,8122,793,150,19
C_139,3,2,364,207,121,69,57
C_1390,74,2,58985,10502,797,142,18
C_1391,26,2,11649,2389,448,92,21
C_1392,20,4,15373,2748,769,137,18
C_1393,1,3,1410,458,1410,458,32
C_1394,43,4,40158,6073,934,141,15
C_1395,96,4,130619,29429,1361,307,23
C_1396,76,4,60571,17843,797,235,29
C_1397,1,2,1680,278,1680,278,17
C_1398,44,2,7737,1382,176,31,18
C_1399,44,2,7737,1382,176,31,18
C_14,5,4,4318,1529,864,306,35
C_140,18,4,31527,3280,1752,182,10
C_1400,1,2,434,86,434,86,20
C_1401,28,4,17171,2643,613,94,15
C_1402,2,2,1023,220,512,110,22
C_1403,9,4,8121,821,902,91,10
C_1404,61,4,122083,21773,2001,357,18
C_1405,30,4,8370,1926,279,64,23
C_1406,3,2,3476,37,1159,12,1
C_1407,43,4,38327,7255,891,169,19
C_1408,10,4,16336,1208,1634,121,7
C_1409,1,2,70,44,70,44,63
C_141,3,4,1750,864,583,288,49
C_1410,3,2,1388,561,463,187,40
C_1411,47,4,11140,2047,237,44,18
C_1412,2,1,2600,1159,1300,580,45
C_1413,2,2,955,53,478,26,6
C_1414,4,4,807,237,202,59,29
C_1415,36,4,53779,11498,1494,319,21
C_1416,3,4,546,164,182,55,30
C_1417,26,4,133121,11160,5120,429,8
C_1418,49,4,34663,8542,707,174,25
C_1419,48,4,160758,29417,3349,613,18
C_142,36,2,21334,4278,593,119,20
C_1420,50,4,203409,45950,4068,919,23
C_1421,43,4,65608,15028,1526,349,23
C_1422,6,2,3215,487,536,81,15
C_1423,10,2,16219,1848,1622,185,11
C_1424,2,2,3663,1377,1832,688,38
C_1425,1,2,1400,376,1400,376,27
C_1426,6,2,6019,788,1003,131,13
C_1427,1,2,230,9,230,9,4
C_1428,68,4,44731,6580,658,97,15
C_1429,33,4,17653,4049,535,123,23
C_143,40,4,18559,4157,464,104,22
C_1430,44,4,16982,3521,386,80,21
C_1431,26,4,69375,33976,2668,1307,49
C_1432,65,4,47966,10748,738,165,22
C_1433,46,2,9384,1362,204,30,15
C_1434,40,4,14881,2477,372,62,17
C_1435,1,2,5980,3291,5980,3291,55
C_1436,16,4,9548,4812,597,301,50
C_1437,60,4,64298,19076,1072,318,30
C_1438,20,4,5632,718,282,36,13
C_1439,42,4,50352,9902,1199,236,20
C_144,25,2,5369,611,215,24,11
C_1440,7,2,4319,622,617,89,14
C_1441,21,4,9739,1123,464,53,12
C_1442,68,4,117740,91985,1731,1353,78
C_1443,8,4,4796,2612,599,326,54
C_1444,33,4,28118,3282,852,99,12
C_1445,5,4,7603,1258,1521,252,17
C_1446,3,2,2583,343,861,114,13
C_1447,74,4,40234,8327,544,113,21
C_1448,11,4,7183,1093,653,99,15
C_1449,1,2,2916,1138,2916,1138,39
C_145,49,4,16505,5235,337,107,32
C_1450,4,4,5907,1892,1477,473,32
C_1451,40,2,13080,2662,327,67,20
C_1452,1,2,800,24,800,24,3
C_1453,9,4,4826,2734,536,304,57
C_1454,7,4,1907,426,272,61,22
C_1455,4,2,2018,421,505,105,21
C_1456,19,4,5931,1715,312,90,29
C_1457,57,4,32072,7481,563,131,23
C_1458,70,4,51269,9264,732,132,18
C_1459,95,4,55454,16217,584,171,29
C_146,11,4,4750,2220,432,202,47
C_1460,51,2,14122,3826,277,75,27
C_1461,9,2,5321,1245,591,138,23
C_1462,39,4,9460,2368,243,61,25
C_1463,4,4,2048,378,512,94,18
C_1464,7,2,2140,312,306,45,15
C_1465,2,2,4790,422,2395,211,9
C_1466,4,2,307,105,77,26,34
C_1467,21,4,14526,2882,692,137,20
C_1468,5,2,2122,331,424,66,16
C_147,18,4,9256,2718,514,151,29
C_1470,6,4,1547,275,258,46,18
C_1471,34,4,33511,9225,986,271,28
C_1472,15,4,5031,791,335,53,16
C_1473,53,4,180213,32627,3400,616,18
C_1474,31,4,27888,3302,900,107,12
C_1475,3,4,2182,932,727,311,43
C_1476,19,4,9350,1934,492,102,21
C_1477,6,2,4840,410,807,68,8
C_1478,2,4,16369,1635,8184,818,10
C_1479,3,4,7534,1339,2511,446,18
C_148,66,4,220205,151862,3336,2301,69
C_1480,15,2,3304,766,220,51,23
C_1481,56,2,41077,8029,734,143,20
C_1482,54,4,28514,7156,528,133,25
C_1483,12,2,3616,866,301,72,24
C_1484,39,4,29730,4164,762,107,14
C_1485,77,4,48018,15346,624,199,32
C_1486,53,2,28554,7217,539,136,25
C_1487,22,4,10268,1407,467,64,14
C_1488,16,4,6497,1264,406,79,19
C_1489,4,4,2795,147,699,37,5
C_149,32,4,48556,5092,1517,159,10
C_1490,70,4,35243,8074,503,115,23
C_1491,31,4,12854,2715,415,88,21
C_1492,22,4,46310,12511,2105,569,27
C_1493,43,4,124983,16341,2907,380,13
C_1494,4,2,1925,805,481,201,42
C_1495,9,2,2708,117,301,13,4
C_1496,29,4,5600,996,193,34,18
C_1497,62,4,66241,9603,1068,155,14
C_1498,14,4,7868,2686,562,192,34
C_1499,21,2,14444,3997,688,190,28
C_15,11,2,8226,2694,748,245,33
C_150,7,2,1136,86,162,12,8
C_1500,43,4,20496,4869,477,113,24
C_1501,1,2,288,164,288,164,57
C_1502,19,4,22786,2069,1199,109,9
C_1503,16,2,17151,2938,1072,184,17
C_1504,18,4,8457,1851,470,103,22
C_1505,19,4,7913,1319,416,69,17
C_1506,10,4,6878,1068,688,107,16
C_1507,56,2,65837,27563,1176,492,42
C_1508,63,4,44934,8702,713,138,19
C_1509,14,2,1529,225,109,16,15
C_151,34,4,20086,3949,591,116,20
C_1510,40,4,21660,5870,542,147,27
C_1511,19,4,6781,1571,357,83,23
C_1512,15,4,11960,1548,797,103,13
C_1513,46,4,46180,13133,1004,286,28
C_1514,12,4,9432,809,786,67,9
C_1515,2,2,4237,207,2119,104,5
C_1516,52,4,26732,6144,514,118,23
C_1517,6,4,690,84,115,14,12
C_1518,14,4,15177,3814,1084,272,25
C_1519,5,2,1593,121,319,24,8
C_152,77,4,24105,5916,313,77,25
C_1520,29,4,9853,1557,340,54,16
C_1521,6,4,4356,705,726,118,16
C_1522,66,4,30961,7776,469,118,25
C_1523,17,2,11031,2459,649,145,22
C_1524,13,4,19983,1763,1537,136,9
C_1525,2,2,1496,189,748,95,13
C_1526,20,2,14512,5350,726,267,37
C_1527,9,2,5700,901,633,100,16
C_1528,3,2,905,86,302,29,10
C_1529,6,4,3248,814,541,136,25
C_153,72,4,23800,5841,331,81,25
C_1530,27,4,17150,4849,635,180,28
C_1531,1,2,765,130,765,130,17
C_1532,33,4,6716,1239,204,38,18
C_1533,10,2,4664,1335,466,134,29
C_1534,10,4,28466,5772,2847,577,20
C_1535,1,2,336,191,336,191,57
C_1536,3,4,10810,2266,3603,755,21
C_1537,19,4,8390,1479,442,78,18
C_1538,13,2,5819,1259,448,97,22
C_1539,4,2,2300,176,575,44,8
C_154,111,4,127967,29649,1153,267,23
C_1540,7,2,11260,3104,1609,443,28
C_1541,36,4,20491,3706,569,103,18
C_1542,2,2,2120,258,1060,129,12
C_1543,42,4,20683,3397,492,81,16
C_1544,60,4,12235,4244,204,71,35
C_1545,54,4,42536,10034,788,186,24
C_1546,4,2,3150,165,788,41,5
C_1547,92,4,77108,14384,838,156,19
C_1548,45,4,10010,3039,222,68,30
C_1549,19,4,11633,2615,612,138,22
C_155,78,4,56470,11937,724,153,21
C_1550,10,4,4541,1027,454,103,23
C_1551,29,4,10014,2473,345,85,25
C_1552,6,4,14440,1149,2407,191,8
C_1553,39,4,15963,2332,409,60,15
C_1554,13,4,7892,1311,607,101,17
C_1555,22,4,11723,2486,533,113,21
C_1556,8,4,1347,151,168,19,11
C_1557,42,4,22729,3910,541,93,17
C_1558,31,4,20785,3529,670,114,17
C_1559,24,4,11420,2118,476,88,19
C_156,89,4,246087,23672,2765,266,10
C_1560,45,4,63420,9724,1409,216,15
C_1561,13,2,6484,1267,499,97,20
C_1562,3,4,8321,3072,2774,1024,37
C_1563,9,4,2732,807,304,90,30
C_1564,13,4,3679,609,283,47,17
C_1565,5,4,3945,274,789,55,7
C_1566,51,4,21666,4846,425,95,22
C_1567,1,2,73,10,73,10,14
C_1568,21,2,22238,2836,1059,135,13
C_1569,2,2,650,69,325,35,11
C_157,102,4,41901,6983,411,68,17
C_1570,48,4,15297,3201,319,67,21
C_1571,1,2,105,2,105,2,2
C_1572,26,4,12594,3233,484,124,26
C_1573,26,2,16995,2895,654,111,17
C_1574,14,2,12228,4613,873,330,38
C_1575,38,4,30132,4286,793,113,14
C_1576,35,4,9646,1626,276,46,17
C_1577,6,2,1441,196,240,33,14
C_1578,4,2,3350,468,838,117,14
C_1579,3,2,2270,205,757,68,9
C_158,7,2,7677,2017,1097,288,26
C_1580,6,2,1403,159,234,26,11
C_1581,19,2,5607,1568,295,83,28
C_1582,30,4,26343,5543,878,185,21
C_1583,2,2,400,14,200,7,4
C_1584,91,4,37077,6239,407,69,17
C_1585,1,2,73,10,73,10,14
C_1586,1,2,540,9,540,9,2
C_1587,28,4,15554,4668,555,167,30
C_1588,14,2,7352,684,525,49,9
C_1589,10,4,2089,329,209,33,16
C_159,78,4,112578,20722,1443,266,18
C_1590,1,2,660,126,660,126,19
C_1591,3,2,5535,578,1845,193,10
C_1592,17,4,11914,1811,701,107,15
C_1593,1,1,330,48,330,48,15
C_1594,8,4,1917,128,240,16,7
C_1595,31,4,12504,2381,403,77,19
C_1596,5,4,3962,304,792,61,8
C_1597,46,4,197290,43131,4289,938,22
C_1598,20,2,10473,2186,524,109,21
C_1599,61,2,30463,7281,499,119,24
C_16,137,4,113342,23145,827,169,20
C_160,1,2,75,41,75,41,54
